chr10,50794421,50890675,-
chr10,26741593,26865935,-
chr9,130708946,130890683,-
chr1,179094327,179234601,-
chr2,236564641,236587358,-
chr2,222855934,222949639,-
chr5,131944973,132016662,-
chr2,157731444,157880111,-
chr2,147839517,147935824,-
chr6,167822635,167975232,-
chr4,86930002,87146054,-
chr2,99546121,100111128,-
chr5,132870379,132968634,-
chr7,91935867,92115673,-
chr14,104764349,104799124,-
chr19,40225317,40290395,-
chr1,243494720,243848282,-
chr12,111761922,111822529,-
chr2,29187774,29926566,-
chrX,64180117,64210744,-
chr8,41648225,41901762,-
chr5,112732888,112851239,-
chr22,38977409,38997784,-
chrX,67539036,67735619,-
chrX,47556100,47576920,-
chr5,142765377,143234011,-
chr14,32072289,32164728,-
chr8,1819015,1963641,-
chr1,17534835,17702869,-
chr11,120332078,120494936,-
chr1,26691033,26787110,-
chr6,156772374,157215779,-
chr12,45724665,45913040,-
chr1,150804705,150881768,-
chr17,81972550,82022404,-
chr20,32353330,32444319,-
chr2,25736925,25785309,-
chr12,50759292,50826122,-
chr2,215306817,215354763,-
chr11,108217832,108374099,-
chr1,116368867,116409772,-
chrX,153531122,153587929,-
chr3,142444237,142583826,-
chrX,77499878,77791269,-
chr16,282440,357659,-
chr17,65523563,65566647,-
chr15,44706477,44723877,-
chr3,52396013,52415350,-
chr2,214720646,214814704,-
chr19,48949929,48966798,-
chr14,34747737,34880647,-
chr1,85261248,85282090,-
chr2,60452192,60560154,-
chr14,99164287,99276228,-
chr18,63118346,63325128,-
chr19,49660142,49678915,-
chr19,44743547,44765044,-
chr3,187716377,187750727,-
chr12,122014422,122067044,-
chr1,147536412,147631216,-
chr11,118888875,118915904,-
chr6,136251863,136294851,-
chrX,40046248,40102403,-
chrX,130000188,130063083,-
chr22,23175210,23323037,-
chr11,102312495,102342734,-
chr2,32352028,32623899,-
chr15,90712327,90821165,-
chr6,55748645,55880564,-
chr10,86751650,86937838,-
chr7,140725665,140929928,-
chr17,43039295,43130483,-
chr13,32310474,32405266,-
chr9,134025305,134073017,-
chr19,15230519,15285451,-
chr17,61676266,61868521,-
chr12,92135278,92150897,-
chrX,101344447,101395796,-
chr15,40156026,40226136,-
chr15,55403548,55423712,-
chr3,53490049,53818733,-
chr19,12933607,12949489,-
chr1,6780324,7774706,-
chr17,78986717,79014817,-
chr7,2901141,3048945,-
chr11,2995922,3062437,-
chr4,184622696,184654475,-
chr2,201253036,201292711,-
chr1,15487270,15529295,-
chr16,88869858,88982204,-
chr16,67024245,67106022,-
chr11,119201276,119313149,-
chr3,105650461,105874043,-
chr19,44772869,44805634,-
chr10,59783763,59911656,-
chr14,20306368,20338312,-
chr6,99537380,99573973,-
chr11,69636087,69659474,-
chr12,4268772,4310350,-
chr6,41929933,41946848,-
chr19,29806898,29829308,-
chr3,32946574,32961349,-
chr17,40548769,40570472,-
chr19,7734994,7752534,-
chr9,5445525,5475547,-
chr2,203701548,203743912,-
chr5,150397152,150417751,-
chr19,41872120,41886372,-
chr17,63923740,63937336,-
chr1,193117017,193258901,-
chr16,68732225,68840548,-
chr5,24482100,24649978,-
chr16,64938753,65127198,-
chr8,94122171,94213587,-
chr17,39457039,39540146,-
chr12,57742727,57757521,-
chr7,92599921,92838917,-
chr6,36673710,36692337,-
chr12,12712124,12727371,-
chr9,21963056,21979866,-
chr1,50955745,50979633,-
chr13,27957137,27976139,-
chr19,33294934,33307564,-
chr19,32870925,32976963,-
chr8,56206756,56223615,-
chr15,92895320,93033005,-
chr12,6565088,6612476,-
chr22,28682763,28746838,-
chr4,54004789,54069690,-
chr12,104451973,104767014,-
chr19,42279665,42300797,-
chr16,10872198,10929983,-
chr12,122266434,122427569,-
chr11,57652158,57666868,-
chr17,59614689,59701956,-
chr22,19174473,19296714,-
chr8,86861445,87387859,-
chr3,129165102,129188910,-
chr19,54136396,54160680,-
chr7,146111359,148425998,-
chr9,121070012,121182608,-
chr17,50178289,50206632,-
chr12,47967965,48009486,-
chr2,188969320,189017746,-
chr8,99872866,99899062,-
chr10,92043642,92248279,-
chr2,207524892,207608431,-
chr11,46272661,46326422,-
chr7,137869979,138007057,-
chr16,3720054,3885726,-
chrX,1185490,1217750,-
chr20,20029368,20061046,-
chr19,18678678,18787333,-
chr15,90525068,90647813,-
chr5,150048291,150118372,-
chr1,36461043,36488278,-
chr8,112217928,113442099,-
chr16,67557467,67644176,-
chr2,79646552,80653689,-
chr3,41215551,41244888,-
chr11,57756797,57824178,-
chr5,10966840,11909043,-
chr2,224465150,224590348,-
chr7,101811011,102263233,-
chr2,136109349,136121243,-
chr16,50737760,50806935,-
chr10,95031773,95074497,-
chr13,48701555,48716226,-
chr6,33313558,33328014,-
chrX,126158499,126171097,-
chr18,52335172,53540899,-
chr2,74356154,74385355,-
chr11,47209942,47244240,-
chr12,57511589,57525517,-
chr1,162627465,162792400,-
chr11,108660025,108945930,-
chrX,41328284,41356668,-
chr17,64494616,64511521,-
chr11,118742766,118795948,-
chr6,18218868,18269823,-
chr22,20075232,20116871,-
chr14,95081228,95163010,-
chr19,14509770,14523420,-
chr19,10713131,10836903,-
chr2,25222855,25347590,-
chr5,31395497,31537061,-
chr4,190079412,190090686,-
chr5,158690920,159104761,-
chr6,138791111,138909070,-
chr11,86240223,86283813,-
chr7,55014101,55216628,-
chrX,20119518,20146844,-
chr8,108196743,108253765,-
chr3,186778547,186794900,-
chr1,202002945,202021009,-
chrX,130059928,130115495,-
chr1,205602943,205636962,-
chr19,18437663,18527127,-
chr7,74022789,74074907,-
chr2,42164350,42337548,-
chr22,41086786,41185079,-
chr2,46292402,46391703,-
chr3,89102524,89487134,-
chr6,93235020,93424526,-
chr1,51349263,51524328,-
chr17,39695080,39733662,-
chr12,56074861,56108505,-
chr2,211370717,212543841,-
chr12,1022747,1500924,-
chr19,45344837,45375587,-
chr2,127252290,127299176,-
chr16,13915157,13957345,-
chr13,102839844,102881001,-
chr21,38375027,38666694,-
chr6,151685496,152108274,-
chr12,22620075,22695665,-
chr7,13886228,13994946,-
chr17,43522844,43551432,-
chr3,186041308,186114112,-
chr12,11644854,11900402,-
chr22,29263316,29305343,-
chr8,117789490,118116853,-
chr11,44091197,44250429,-
chr7,148802385,148889278,-
chr6,158760748,158824412,-
chr7,143348400,143367752,-
chr8,138125023,138501822,-
chrX,37003397,37016666,-
chr16,89732549,89821646,-
chr9,95094054,95322702,-
chr3,10021414,10104660,-
chr6,35447361,35472103,-
chr11,22617519,22631787,-
chr9,35068838,35085016,-
chr10,88985657,89020785,-
chr4,186582783,186728855,-
chr11,92347541,92901470,-
chr4,125311399,125497932,-
chr3,13544131,13643422,-
chr2,47801920,47910793,-
chr4,152315544,152541063,-
chr1,161658161,161683654,-
chr1,157568749,157603080,-
chr11,61787637,61802244,-
chr15,90879412,90900776,-
chr2,218976087,218990657,-
chr8,38406138,38472845,-
chr6,166994182,167057713,-
chr10,121474857,121603403,-
chr4,1788312,1813872,-
chr5,177081886,177103144,-
chr1,241492603,241524761,-
chr3,59746407,61256459,-
chr4,53372645,53464668,-
chr7,32952404,33011930,-
chr17,17207212,17242139,-
chr11,128688770,128818267,-
chrX,154343526,154379638,-
chr13,27998274,28105592,-
chr5,180596506,180654624,-
chr9,129882187,130048162,-
chr14,37584984,37600034,-
chr3,138939224,138952140,-
chr13,40550667,40671597,-
chr6,108555866,108689768,-
chrX,71091197,71108535,-
chr3,70949715,71588989,-
chr11,118966707,118986291,-
chr19,671365,688399,-
chr1,77943405,77984086,-
chr16,31175110,31199871,-
chr17,9908850,10203551,-
chrX,48781554,48799308,-
chr3,128474427,128498185,-
chr10,8049653,8080203,-
chr12,57455138,57477262,-
chr3,155865536,155949026,-
chr19,3089410,3129004,-
chr9,77711087,78036458,-
chr20,58847714,58916192,-
chr14,92789231,92844963,-
chr6,117555269,117607364,-
chrX,133530754,133990646,-
